League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Portugal Primerira Liga,Sp Lisbon,Rio Ave,21,2.05,0.57,0.6667,0.2381,0.0952,0.3333,0.0952,0.0476,0.1905,0.1429,0.9524,0.7619,0.4286,0.2381,0.1905
Portugal Primerira Liga,Sp Braga,Rio Ave,21,1.95,0.43,0.7619,0.1429,0.0952,0.3333,0.1905,0.0,0.1429,0.1905,1.0,0.6667,0.381,0.1429,0.1429
Portugal Primerira Liga,Moreirense,Rio Ave,10,0.7,0.9,0.2,0.4,0.4,0.5,0.1,0.1,0.3,0.2,0.9,0.5,0.2,0.0,0.0
Portugal Primerira Liga,Chaves,Rio Ave,5,1.0,1.0,0.0,1.0,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.8,0.2,0.2,0.0
Portugal Primerira Liga,Casa Pia,Rio Ave,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Boavista,Rio Ave,15,1.27,1.2,0.4,0.2,0.4,0.5333,0.1333,0.2,0.2,0.3333,1.0,0.7333,0.4,0.1333,0.1333
Portugal Primerira Liga,Guimaraes,Rio Ave,21,1.33,0.62,0.5238,0.2857,0.1905,0.3333,0.1905,0.0952,0.0476,0.2857,0.7619,0.5714,0.4286,0.1429,0.0476
Portugal Primerira Liga,Estoril,Rio Ave,8,0.75,2.12,0.0,0.375,0.625,0.5,0.0,0.25,0.25,0.25,0.875,0.75,0.5,0.5,0.125
Portugal Primerira Liga,Portimonense,Rio Ave,6,1.67,1.0,0.3333,0.5,0.1667,0.6667,0.3333,0.0,0.3333,0.3333,0.8333,0.6667,0.5,0.5,0.1667
Portugal Primerira Liga,Vizela,Rio Ave,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Benfica,Rio Ave,21,2.81,0.86,0.8571,0.1429,0.0,0.5714,0.4762,0.0,0.0952,0.4762,0.9524,0.8095,0.619,0.5238,0.3333
Portugal Primerira Liga,Arouca,Rio Ave,5,0.4,0.6,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0
Portugal Primerira Liga,Gil Vicente,Porto,17,1.06,2.0,0.2353,0.1176,0.6471,0.4706,0.1765,0.2353,0.0588,0.4118,0.9412,0.7647,0.5294,0.2941,0.1765
Portugal Primerira Liga,Farense,Porto,9,0.67,2.44,0.0,0.1111,0.8889,0.4444,0.0,0.3333,0.1111,0.3333,1.0,0.8889,0.7778,0.2222,0.1111
Portugal Primerira Liga,Famalicao,Porto,3,1.67,3.0,0.3333,0.0,0.6667,1.0,0.3333,0.6667,0.0,1.0,1.0,1.0,1.0,0.6667,0.6667
Portugal Primerira Liga,Sp Lisbon,Porto,28,0.96,0.75,0.3214,0.3571,0.3214,0.3571,0.0357,0.1071,0.2143,0.1429,0.8571,0.6071,0.2143,0.0357,0.0
Portugal Primerira Liga,Sp Braga,Porto,28,0.93,1.68,0.2143,0.25,0.5357,0.5357,0.1786,0.1786,0.1786,0.3571,0.9286,0.75,0.5357,0.25,0.1071
Portugal Primerira Liga,Moreirense,Porto,11,1.0,1.55,0.0909,0.5455,0.3636,0.6364,0.0909,0.0909,0.4545,0.1818,0.9091,0.8182,0.3636,0.2727,0.0909
Portugal Primerira Liga,Chaves,Porto,5,0.4,3.4,0.0,0.0,1.0,0.4,0.0,0.4,0.0,0.4,1.0,1.0,0.8,0.8,0.2
Portugal Primerira Liga,Casa Pia,Porto,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Boavista,Porto,22,0.64,1.64,0.1818,0.2273,0.5909,0.3182,0.0455,0.1364,0.1364,0.1818,0.9091,0.5909,0.3182,0.1818,0.1818
Portugal Primerira Liga,Guimaraes,Porto,27,0.7,1.85,0.1111,0.2222,0.6667,0.4074,0.037,0.1852,0.1852,0.2222,0.963,0.7037,0.4074,0.3333,0.1481
Portugal Primerira Liga,Estoril,Porto,8,1.25,2.12,0.0,0.375,0.625,1.0,0.0,0.625,0.375,0.625,1.0,1.0,0.875,0.5,0.0
Portugal Primerira Liga,Portimonense,Porto,6,1.0,3.0,0.0,0.0,1.0,0.6667,0.0,0.6667,0.0,0.6667,1.0,1.0,0.8333,0.5,0.5
Portugal Primerira Liga,Vizela,Porto,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Benfica,Porto,28,1.0,1.0,0.2857,0.3571,0.3571,0.5357,0.0714,0.1786,0.2857,0.25,0.9286,0.6429,0.3214,0.0714,0.0357
Portugal Primerira Liga,Arouca,Porto,5,0.4,3.2,0.0,0.0,1.0,0.4,0.0,0.4,0.0,0.4,1.0,0.8,0.8,0.8,0.2
Portugal Primerira Liga,Farense,Gil Vicente,7,2.29,1.14,0.7143,0.1429,0.1429,0.5714,0.4286,0.0,0.1429,0.4286,1.0,1.0,0.7143,0.4286,0.2857
Portugal Primerira Liga,Famalicao,Gil Vicente,3,0.67,1.0,0.3333,0.0,0.6667,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.3333,0.3333,0.0,0.0
Portugal Primerira Liga,Sp Lisbon,Gil Vicente,17,2.35,0.82,0.8824,0.0588,0.0588,0.5882,0.5294,0.0,0.0588,0.5294,1.0,0.8824,0.5882,0.4118,0.1765
Portugal Primerira Liga,Sp Braga,Gil Vicente,17,1.82,0.71,0.6471,0.3529,0.0,0.6471,0.4118,0.0,0.2353,0.4118,0.8824,0.7059,0.4706,0.3529,0.1176
Portugal Primerira Liga,Moreirense,Gil Vicente,7,1.29,0.29,0.5714,0.4286,0.0,0.2857,0.1429,0.0,0.1429,0.1429,0.7143,0.5714,0.2857,0.0,0.0
Portugal Primerira Liga,Chaves,Gil Vicente,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Casa Pia,Gil Vicente,1,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Boavista,Gil Vicente,14,1.71,0.86,0.5,0.2143,0.2857,0.2857,0.0714,0.0714,0.1429,0.1429,0.9286,0.7143,0.4286,0.2143,0.1429
Portugal Primerira Liga,Guimaraes,Gil Vicente,17,1.65,1.18,0.5294,0.2353,0.2353,0.5882,0.2941,0.1176,0.1765,0.4118,0.9412,0.8235,0.4706,0.3529,0.1176
Portugal Primerira Liga,Estoril,Gil Vicente,5,1.4,0.6,0.6,0.2,0.2,0.4,0.0,0.2,0.2,0.2,1.0,0.8,0.2,0.0,0.0
Portugal Primerira Liga,Portimonense,Gil Vicente,3,2.0,0.33,1.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.3333,0.3333,0.3333,0.3333
Portugal Primerira Liga,Vizela,Gil Vicente,1,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Benfica,Gil Vicente,17,1.94,0.59,0.7647,0.0588,0.1765,0.3529,0.2941,0.0588,0.0,0.3529,0.9412,0.7647,0.5294,0.2353,0.0588
Portugal Primerira Liga,Arouca,Gil Vicente,3,1.67,0.33,1.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.3333,0.3333,0.3333,0.0
Portugal Primerira Liga,Famalicao,Farense,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Sp Lisbon,Farense,9,1.78,0.44,0.7778,0.2222,0.0,0.3333,0.2222,0.0,0.1111,0.2222,0.8889,0.4444,0.3333,0.3333,0.2222
