League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Netherlands Ersdvisle,Ajax,Sparta,12,4.25,0.75,0.9167,0.0833,0.0,0.4167,0.4167,0.0,0.0,0.4167,0.9167,0.9167,0.8333,0.6667,0.5833
Netherlands Ersdvisle,Twente,Sparta,12,2.0,0.83,0.75,0.0833,0.1667,0.4167,0.3333,0.0833,0.0,0.4167,0.9167,0.75,0.5,0.25,0.1667
Netherlands Ersdvisle,Heerenveen,Zwolle,12,1.42,0.75,0.5,0.25,0.25,0.4167,0.0833,0.0833,0.25,0.1667,1.0,0.75,0.3333,0.0833,0.0
Netherlands Ersdvisle,Heracles,Ajax,17,0.76,1.94,0.1765,0.1765,0.6471,0.4118,0.0588,0.2353,0.1176,0.2941,0.9412,0.7647,0.4706,0.2941,0.1765
Netherlands Ersdvisle,Feyenoord,Nijmegen,22,2.23,0.82,0.7273,0.0909,0.1818,0.4091,0.2727,0.0455,0.0909,0.3182,1.0,0.8636,0.5,0.2727,0.1818
Netherlands Ersdvisle,Nijmegen,Utrecht,22,1.18,1.14,0.3182,0.3636,0.3182,0.4091,0.0455,0.0909,0.2727,0.1364,0.9091,0.7273,0.4545,0.2273,0.0
Netherlands Ersdvisle,Ajax,Waalwijk,20,3.05,0.5,0.9,0.05,0.05,0.4,0.35,0.05,0.0,0.4,0.95,0.95,0.8,0.45,0.3
Netherlands Ersdvisle,Heracles,Zwolle,10,1.9,0.8,0.7,0.1,0.2,0.4,0.2,0.1,0.1,0.3,1.0,1.0,0.5,0.2,0.0
Netherlands Ersdvisle,For Sittard,Twente,10,1.3,1.5,0.4,0.2,0.4,0.4,0.1,0.1,0.2,0.2,1.0,0.9,0.6,0.2,0.1
Netherlands Ersdvisle,For Sittard,Ajax,10,0.9,2.2,0.3,0.1,0.6,0.4,0.1,0.2,0.1,0.3,1.0,0.9,0.6,0.3,0.3
Netherlands Ersdvisle,Waalwijk,Heerenveen,20,0.65,1.35,0.1,0.45,0.45,0.4,0.05,0.1,0.25,0.15,0.8,0.65,0.4,0.15,0.0
Netherlands Ersdvisle,Sparta,Heracles,5,1.0,0.4,0.4,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.8,0.6,0.0,0.0,0.0
Netherlands Ersdvisle,PSV Eindhoven,Vitesse,28,2.0,0.79,0.8214,0.0357,0.1429,0.3929,0.3214,0.0714,0.0,0.3929,0.9643,0.7143,0.5,0.2857,0.1786
Netherlands Ersdvisle,PSV Eindhoven,Heracles,16,2.88,0.44,0.9375,0.0625,0.0,0.375,0.3125,0.0,0.0625,0.3125,1.0,0.9375,0.6875,0.4375,0.125
Netherlands Ersdvisle,Vitesse,Heracles,16,2.12,0.56,0.6875,0.1875,0.125,0.375,0.1875,0.0625,0.125,0.25,0.9375,0.875,0.5,0.25,0.0625
Netherlands Ersdvisle,Excelsior,Nijmegen,8,1.38,1.25,0.375,0.375,0.25,0.375,0.125,0.0,0.25,0.125,0.875,0.875,0.375,0.25,0.125
Netherlands Ersdvisle,Twente,Vitesse,27,1.15,0.89,0.4444,0.2963,0.2593,0.3704,0.1481,0.1111,0.1111,0.2593,0.8148,0.5556,0.4074,0.1111,0.0741
Netherlands Ersdvisle,Feyenoord,Excelsior,11,3.0,0.45,1.0,0.0,0.0,0.3636,0.3636,0.0,0.0,0.3636,1.0,0.7273,0.7273,0.4545,0.4545
Netherlands Ersdvisle,Heerenveen,Excelsior,11,2.0,0.73,0.7273,0.0909,0.1818,0.3636,0.2727,0.0909,0.0,0.3636,0.9091,0.7273,0.4545,0.2727,0.2727
Netherlands Ersdvisle,PSV Eindhoven,Excelsior,11,3.64,0.45,0.9091,0.0909,0.0,0.3636,0.2727,0.0,0.0909,0.2727,1.0,0.9091,0.7273,0.5455,0.3636
Netherlands Ersdvisle,PSV Eindhoven,For Sittard,11,2.82,0.45,0.9091,0.0909,0.0,0.3636,0.2727,0.0,0.0909,0.2727,1.0,0.9091,0.6364,0.3636,0.3636
Netherlands Ersdvisle,Ajax,For Sittard,11,3.73,0.73,0.8182,0.0909,0.0909,0.3636,0.1818,0.0909,0.0909,0.2727,1.0,1.0,0.9091,0.9091,0.4545
Netherlands Ersdvisle,Ajax,Heracles,17,2.94,0.41,0.7647,0.2353,0.0,0.3529,0.2353,0.0,0.1176,0.2353,0.8824,0.8235,0.7647,0.4706,0.2941
Netherlands Ersdvisle,Go Ahead Eagles,Excelsior,3,2.0,0.33,0.6667,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.3333,0.6667,0.6667,0.6667,0.3333,0.0
Netherlands Ersdvisle,Go Ahead Eagles,Ajax,6,0.5,1.67,0.1667,0.1667,0.6667,0.3333,0.1667,0.1667,0.0,0.3333,0.8333,0.6667,0.6667,0.0,0.0
Netherlands Ersdvisle,AZ Alkmaar,Waalwijk,18,2.83,0.78,0.7778,0.0556,0.1667,0.3333,0.1667,0.1111,0.0556,0.2778,1.0,0.8889,0.7778,0.4444,0.1667
Netherlands Ersdvisle,Ajax,Go Ahead Eagles,6,3.0,0.33,0.6667,0.3333,0.0,0.3333,0.1667,0.0,0.1667,0.1667,0.8333,0.8333,0.6667,0.6667,0.1667
Netherlands Ersdvisle,Sparta,Ajax,12,1.5,1.67,0.4167,0.0833,0.5,0.3333,0.0833,0.1667,0.0833,0.25,1.0,0.9167,0.8333,0.3333,0.0833
Netherlands Ersdvisle,Heracles,Nijmegen,12,1.17,0.92,0.4167,0.25,0.3333,0.3333,0.0833,0.0833,0.1667,0.1667,0.9167,0.75,0.25,0.0833,0.0833
Netherlands Ersdvisle,Sparta,For Sittard,6,1.33,1.0,0.1667,0.5,0.3333,0.3333,0.0,0.1667,0.1667,0.1667,0.6667,0.6667,0.3333,0.3333,0.3333
Netherlands Ersdvisle,Excelsior,Zwolle,6,0.5,2.33,0.0,0.1667,0.8333,0.3333,0.0,0.1667,0.1667,0.1667,1.0,0.8333,0.5,0.3333,0.1667
Netherlands Ersdvisle,Waalwijk,Heracles,9,1.44,1.11,0.4444,0.2222,0.3333,0.3333,0.0,0.1111,0.2222,0.1111,1.0,0.8889,0.3333,0.2222,0.1111
Netherlands Ersdvisle,Ajax,Nijmegen,22,2.77,0.45,0.7273,0.2727,0.0,0.3182,0.1364,0.0,0.1818,0.1364,0.9091,0.7727,0.5909,0.4545,0.3636
Netherlands Ersdvisle,AZ Alkmaar,For Sittard,10,1.9,1.0,0.7,0.0,0.3,0.3,0.3,0.0,0.0,0.3,1.0,0.8,0.6,0.3,0.1
Netherlands Ersdvisle,Sparta,AZ Alkmaar,10,0.6,2.3,0.0,0.2,0.8,0.3,0.0,0.2,0.1,0.2,0.9,0.7,0.5,0.3,0.1
Netherlands Ersdvisle,Ajax,Zwolle,11,2.55,0.27,0.9091,0.0909,0.0,0.2727,0.2727,0.0,0.0,0.2727,0.9091,0.8182,0.7273,0.1818,0.0909
Netherlands Ersdvisle,Zwolle,Go Ahead Eagles,4,1.25,0.75,0.5,0.0,0.5,0.25,0.25,0.0,0.0,0.25,1.0,0.5,0.25,0.25,0.0
Netherlands Ersdvisle,Zwolle,For Sittard,4,2.0,1.0,0.5,0.0,0.5,0.25,0.25,0.0,0.0,0.25,1.0,0.75,0.5,0.5,0.25
Netherlands Ersdvisle,Excelsior,Waalwijk,4,0.5,1.25,0.25,0.25,0.5,0.25,0.0,0.25,0.0,0.25,0.75,0.5,0.5,0.0,0.0
Netherlands Ersdvisle,For Sittard,Heracles,4,1.0,1.0,0.25,0.25,0.5,0.25,0.0,0.0,0.25,0.0,1.0,0.75,0.25,0.0,0.0
Netherlands Ersdvisle,AZ Alkmaar,Sparta,10,2.6,0.3,0.8,0.1,0.1,0.2,0.0,0.1,0.1,0.1,1.0,0.9,0.6,0.2,0.1
Netherlands Ersdvisle,AZ Alkmaar,Go Ahead Eagles,5,2.8,0.4,0.8,0.2,0.0,0.2,0.0,0.0,0.2,0.0,1.0,1.0,0.6,0.4,0.2
Netherlands Ersdvisle,Nijmegen,Excelsior,8,0.88,0.5,0.5,0.125,0.375,0.125,0.0,0.0,0.125,0.0,1.0,0.375,0.0,0.0,0.0
Netherlands Ersdvisle,Sparta,Nijmegen,11,0.73,1.0,0.5455,0.0909,0.3636,0.0909,0.0,0.0909,0.0,0.0909,0.9091,0.4545,0.1818,0.1818,0.0
Netherlands Ersdvisle,Feyenoord,Zwolle,12,2.5,0.08,0.9167,0.0833,0.0,0.0833,0.0833,0.0,0.0,0.0833,0.9167,0.75,0.4167,0.1667,0.0833
Netherlands Ersdvisle,Sparta,Go Ahead Eagles,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Netherlands Ersdvisle,Vitesse ,PSV Eindhoven,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Netherlands Ersdvisle,For Sittard,Go Ahead Eagles,2,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
Netherlands Ersdvisle,PSV Eindhoven,Go Ahead Eagles,6,2.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333,0.5,0.1667,0.1667
Netherlands Ersdvisle,Feyenoord,Go Ahead Eagles,6,3.17,0.17,0.8333,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.5,0.3333,0.3333
Netherlands Ersdvisle,Utrecht ,Excelsior,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
